workload,level,W,rep,T_async,T_sync_pred,T_sync_meas,ratio_pred,ratio_meas,note
straggler,0.0,16,0,3875.287609669647,3831.6797278469285,48.77262720486943,1.0113808786015688,79.45619975301926,straggler busy 0.000s ovh 3.95ms
straggler,0.0,16,1,3868.301639457083,3827.4479650508324,47.9949436289239,1.0106738680131757,80.59810777912595,straggler busy 0.000s ovh 3.96ms
straggler,0.0,16,2,3903.368892778603,3889.69234702064,48.042913028374905,1.0035160996134922,81.24754821742827,straggler busy 0.000s ovh 3.89ms
straggler,0.0,16,3,3905.2092226315253,3881.8426816175675,48.76565388048268,1.0060194456423002,80.08114137467753,straggler busy 0.000s ovh 3.90ms
straggler,0.0,16,4,3887.7104708928177,3869.754023047676,48.7142451463108,1.0046402039349778,79.80643976348753,straggler busy 0.000s ovh 3.92ms
straggler,1.0,16,0,3119.4708745087037,154.18084448862936,65.34407981829538,20.232545001650713,47.739150710869716,straggler busy 0.100s ovh 3.50ms
straggler,1.0,16,1,3112.386562903572,154.19582484261247,65.54891978015088,20.184635777786994,47.48188945511877,straggler busy 0.100s ovh 3.49ms
straggler,1.0,16,2,3121.7925208865386,154.1850244601513,65.19799565474206,20.247054030162037,47.881725343491915,straggler busy 0.100s ovh 3.49ms
straggler,1.0,16,3,3110.695503206543,154.14874101629874,65.56116154165515,20.179830744628898,47.447229885183184,straggler busy 0.100s ovh 3.52ms
straggler,1.0,16,4,3110.428924874854,154.1070734119912,65.31996305360975,20.183557159374548,47.618350952250935,straggler busy 0.100s ovh 3.55ms
straggler,5.0,16,0,3240.657107711257,31.754342371375817,31.60314210114116,102.05398272182356,102.54224397498248,straggler busy 0.500s ovh 3.57ms
straggler,5.0,16,1,3277.893158141477,31.75720341771934,31.593796347225027,103.21731151907836,103.75116437785685,straggler busy 0.500s ovh 3.53ms
straggler,5.0,16,2,3227.145601216278,31.750927379427523,31.60553256531212,101.63941237531388,102.10698378669792,straggler busy 0.500s ovh 3.63ms
straggler,5.0,16,3,3221.1638443484394,31.753221625113678,31.593997561489783,101.44368601014064,101.95493109345384,straggler busy 0.500s ovh 3.59ms
straggler,5.0,16,4,3247.3852380912576,31.75523918104494,31.5815787437382,102.26297523936329,102.82529776112378,straggler busy 0.500s ovh 3.56ms
straggler,10.0,16,0,3230.0934672459125,15.938584903273645,15.909780456477462,202.65873581929344,203.02564677634012,straggler busy 1.000s ovh 3.54ms
straggler,10.0,16,1,3210.7796185316893,15.938742278708812,15.915052132751914,201.44497993550547,201.7448382669234,straggler busy 1.000s ovh 3.53ms
straggler,10.0,16,2,3218.442843277939,15.937786339164758,15.894245128357529,201.93788364254144,202.49107883304205,straggler busy 1.000s ovh 3.60ms
straggler,10.0,16,3,3210.268112311189,15.938061923443266,15.920230890420571,201.4214857321649,201.6470825333854,straggler busy 1.000s ovh 3.58ms
straggler,10.0,16,4,3235.3041966954956,15.938267626949532,15.802427931936622,202.9897020442183,204.73462752878393,straggler busy 1.000s ovh 3.57ms
straggler,20.0,16,0,3197.576555258802,7.984441158205638,7.979302468579603,400.475937125874,400.73384457476305,straggler busy 2.000s ovh 3.58ms
straggler,20.0,16,1,3174.9352133235725,7.984137926973729,7.973337208045564,397.6553564533654,398.1940222119136,straggler busy 2.000s ovh 3.64ms
straggler,20.0,16,2,3205.190440211961,7.98437420836152,7.977090402282879,401.4328933700742,401.7994379623304,straggler busy 2.000s ovh 3.58ms
straggler,20.0,16,3,3218.33507105148,7.9843499880713,7.979905475450487,403.0804105355734,403.3049114369111,straggler busy 2.000s ovh 3.59ms
straggler,20.0,16,4,3208.758295984474,7.984461557008414,7.980986724869607,401.87535165323266,402.0503236755977,straggler busy 2.000s ovh 3.56ms
hetero,0.0,48,0,47.565984117189295,47.58752006037367,44.83773068962382,0.9995474455664626,1.0608472682627723,E[max48]=1.01s ovh 8.2ms
hetero,0.0,48,1,47.72941386235485,47.751850198218904,44.88186892710393,0.9995301472975201,1.0634453288893972,E[max48]=1.01s ovh 4.7ms
hetero,0.0,48,2,47.57297503515867,47.59253149330022,44.841569588454014,0.9995890855659926,1.0609123514580976,E[max48]=1.01s ovh 8.1ms
hetero,0.0,48,3,47.56651326486412,47.58867312937716,44.85201976309081,0.999534345821057,1.0605210984056308,E[max48]=1.01s ovh 8.2ms
hetero,0.0,48,4,47.55913273708872,47.58264082152056,44.83254040595711,0.9995059525065029,1.0608172614454234,E[max48]=1.01s ovh 8.3ms
hetero,0.5,48,0,42.123528568163124,15.2243887807456,15.116744967999889,2.766845301627942,2.7865475442850265,E[max48]=3.15s ovh 4.5ms
hetero,0.5,48,1,41.836263816704374,15.237015452438888,15.5088364217242,2.7456993757926473,2.6975759289137704,E[max48]=3.15s ovh 4.4ms
hetero,0.5,48,2,41.81891698747414,15.250082417577064,14.980888667951277,2.7422092446709767,2.7914843981811073,E[max48]=3.15s ovh 4.5ms
hetero,0.5,48,3,42.45670714715855,15.254160158577728,15.524305173798297,2.7832870971453825,2.7348539385077526,E[max48]=3.15s ovh 4.4ms
hetero,0.5,48,4,43.03664019708431,15.261190820375866,15.089583592932794,2.8200053785858086,2.852076065057257,E[max48]=3.15s ovh 4.5ms
hetero,1.0,48,0,29.324102498200816,4.557227021569416,5.022384722042703,6.434637194813743,5.838681049163857,E[max48]=10.53s ovh 4.2ms
hetero,1.0,48,1,28.50301545852372,4.538911948931723,4.209872145065354,6.2797022236203945,6.770518076643688,E[max48]=10.58s ovh 4.1ms
hetero,1.0,48,2,28.8643104485116,4.554019197354032,4.367484196810395,6.338205703059462,6.608910106553199,E[max48]=10.54s ovh 4.2ms
hetero,1.0,48,3,29.216091368835247,4.538887098489254,4.677953760988236,6.436840294740902,6.24548528300614,E[max48]=10.58s ovh 4.2ms
