wall_time,mean,std,variant
13.055372196695078,0.0783376506218463,0.0067735701244665,full_model
26.098308957141377,0.0755029306660465,0.0046584153288286,full_model
39.14124571758768,0.0737588477715426,0.005462885740498,full_model
52.184182478033975,0.0734914966483016,0.0049704605125726,full_model
65.22711923848027,0.07369706179555,0.0030506326249893,full_model
78.27005599892658,0.0734372006534841,0.006926726830109,full_model
91.31299275937288,0.0751760983702448,0.0046573930513872,full_model
104.35592951981916,0.0746895124164261,0.0036437786406923,full_model
117.39886628026548,0.0739576392253932,0.0054987465185792,full_model
130.44180304071176,0.0719242939385716,0.0067412264738703,full_model
143.48473980115807,0.0721398422130154,0.006211444687967,full_model
156.52767656160438,0.0744532643972681,0.0091714409281407,full_model
169.57061332205066,0.0733123206622848,0.0081294540316778,full_model
182.61355008249697,0.0745912480916696,0.0060565509603803,full_model
195.65648684294325,0.0743142716543064,0.0078731116652627,full_model
208.6994236033896,0.0750752173973248,0.0065377722603534,full_model
221.74236036383587,0.0750219995646948,0.0059061523921944,full_model
234.78529712428212,0.0746270995784758,0.0059087967717759,full_model
247.8282338847285,0.0750198821925379,0.0058601833406588,full_model
260.87117064517474,0.0736860156905884,0.0066183114492051,full_model
273.91410740562105,0.0728046118775213,0.0075436676237495,full_model
286.95704416606736,0.0733691125580902,0.0073022003182441,full_model
299.9999809265137,0.0732268176989053,0.0046537964768473,full_model
13.046647901120393,0.0771684647260832,0.0057263452414667,no_amis
26.087900628214296,0.0724587943719685,0.0084943709875459,no_amis
39.1291533553082,0.0728427088000694,0.0079358692953614,no_amis
52.1704060824021,0.0734712836259598,0.0075324122406808,no_amis
65.211658809496,0.0740031811689536,0.0075984849337537,no_amis
78.2529115365899,0.0735728370437297,0.007902751367664,no_amis
91.2941642636838,0.075859678728978,0.0092422702874616,no_amis
104.33541699077772,0.0775319541465275,0.0087118951110524,no_amis
117.37666971787162,0.0758004315258109,0.0074151119783616,no_amis
130.4179224449655,0.0753972412134035,0.0064252491079695,no_amis
143.45917517205942,0.0748117386939326,0.0066066566033323,no_amis
156.50042789915332,0.0752785237452317,0.007092707222482,no_amis
169.54168062624723,0.0735956190346667,0.006835867522306,no_amis
182.58293335334116,0.072616128879226,0.0068098738574744,no_amis
195.62418608043504,0.071736797580843,0.0052569667749318,no_amis
208.66543880752891,0.0726845643692764,0.005106006708154,no_amis
221.70669153462285,0.0721691984240982,0.0049895735514922,no_amis
234.74794426171675,0.0721176956421393,0.0051534952995813,no_amis
247.78919698881063,0.0717768132311216,0.0048652670998454,no_amis
260.83044971590454,0.0720646501016427,0.004939321534764,no_amis
273.87170244299847,0.0720646501016427,0.004939321534764,no_amis
286.91295517009235,0.0720646501016427,0.004939321534764,no_amis
299.9542078971863,0.0719010097785235,0.0051037205035806,no_amis
