variant,mean_final_wasserstein,mean_final_wasserstein_ci_low,mean_final_wasserstein_ci_high
full_model,0.0732268176989053,0.0674483661586363,0.0790052692391742
hard_kernel_baseline,0.0755555214299266,0.0678320056571413,0.083279037202712
no_amis,0.0719010097785235,0.0655639037723331,0.078238115784714
epanechnikov_kernel,0.0709236313873176,0.0628529628195985,0.0789942999550368
small_archive,0.0759667302175634,0.0347725894718312,0.1171608709632957
slow_decay,0.0692893613811727,0.0634490391990495,0.0751296835632959
large_perturbation,0.0866112023910767,0.0810227344302497,0.0921996703519037
fixed_perturbation,0.0837023733034129,0.0762317533577052,0.0911729932491206
no_archive_truncation,0.0774750270292657,0.0767655821036972,0.0781844719548342
