k,source,replicate,n_sims,ess,eps_reported,eps_order_statistic_k,eps_order_statistic_100,transient_ratio,contraction_division_rate,contraction_cell_volume,covered_division_rate,covered_cell_volume
30,ksweep,0,12861,102.44350403187845,2.8213785316323925e-05,1.3461300554522878e-05,4.582828582082573e-05,2.0959182362839632,0.9433415598525,0.8329766952077261,False,True
30,ksweep,1,12805,72.28755026213254,2.539909922378991e-05,1.4747755563866287e-05,5.253868117626801e-05,1.722234892882321,0.9310256041298475,0.8200989756780528,True,True
100,production_fixed,0,12835,572.9548005922302,0.000322301102359,6.147726466202043e-05,6.147726466202043e-05,5.242606419314423,0.9118448082973555,0.8143598844087633,True,True
100,production_fixed,1,12860,293.90300125883493,0.0001550387450042,7.629015888252514e-05,7.629015888252514e-05,2.032224696804411,0.9183147123756927,0.8005411904273172,True,True
100,production_fixed,2,12896,352.88484723256744,0.000151502555473,6.435888993689814e-05,6.435888993689814e-05,2.3540268581627726,0.9256746235152764,0.8206086888725279,True,True
100,production_fixed,3,12909,302.9909254743586,0.0001682427404485,8.576469642625384e-05,8.576469642625384e-05,1.9616782599255889,0.9140948336808674,0.8009631203065661,True,True
100,production_fixed,4,12934,236.85034093793485,0.0001312926078326,8.708180910421177e-05,8.708180910421177e-05,1.50769269934988,0.9170944619888339,0.8005599596173532,True,True
100,tolsweep,0,12725,351.4038862039739,0.0001811562290363,7.76065126450772e-05,7.76065126450772e-05,2.3342915802027244,0.9271224013645283,0.813407615061526,True,True
100,tolsweep,1,12758,267.2103211333775,0.0001297181659783,6.294030344362101e-05,6.294030344362101e-05,2.0609714107034054,0.9136168885946483,0.8397642401635037,True,True
300,ksweep,0,12746,2109.9393510704044,0.1,0.000309557115942,9.655772999983684e-05,323.0421620116672,0.7490126242766404,0.06235065152633934,True,True
300,ksweep,1,12717,1845.5384234338208,0.1,0.0003192590965659,9.24129276878582e-05,313.22521762307395,0.7363650963656416,0.0687371983467463,True,True
