tol_init,source,replicate,n_sims,ess,eps_reported,eps_order_statistic_k,eps_order_statistic_100,transient_ratio,contraction_division_rate,contraction_cell_volume,covered_division_rate,covered_cell_volume,k
10.0,production_control,0,13274,1235.0222810780676,0.0120790447887168,7.782745407358678e-05,7.782745407358678e-05,155.20287708879596,0.8862984756951491,0.34918986969069765,True,True,
10.0,production_control,1,13233,613.6886053997508,0.01953125,6.310930206176217e-05,6.310930206176217e-05,309.48290286724557,0.8841620415637812,0.12975625267730584,True,True,
10.0,production_control,2,13249,671.3580356383918,0.0873770817362856,5.5073070259715546e-05,5.5073070259715546e-05,1586.5663803421462,0.7788749908698924,0.03755030288325223,True,True,
10.0,production_control,3,13285,645.199647480752,0.0197520648007936,6.158370493511577e-05,6.158370493511577e-05,320.7352467930317,0.8753088416145881,0.15400747988457586,True,True,
10.0,production_control,4,13291,632.27776183724,0.1092980834892652,6.80965305660488e-05,6.80965305660488e-05,1605.046286216503,0.7744337690673423,-0.020604847704015494,True,True,
1.0,tolsweep,0,13160,1052.6860542025593,0.0006245909736387,6.974500967538089e-05,6.974500967538089e-05,8.955350017811709,0.921779944257152,0.7700234036774499,True,True,
1.0,tolsweep,1,13103,459.80852528087627,0.0004625560759416,7.497293589099385e-05,7.497293589099385e-05,6.1696406902636,0.9140846966999334,0.7634263133696395,True,True,
0.1,production_fixed,0,12835,572.9548005922302,0.000322301102359,6.147726466202043e-05,6.147726466202043e-05,5.242606419314423,0.9118448082973555,0.8143598844087633,True,True,100.0
0.1,production_fixed,1,12860,293.90300125883493,0.0001550387450042,7.629015888252514e-05,7.629015888252514e-05,2.032224696804411,0.9183147123756927,0.8005411904273172,True,True,100.0
0.1,production_fixed,2,12896,352.88484723256744,0.000151502555473,6.435888993689814e-05,6.435888993689814e-05,2.3540268581627726,0.9256746235152764,0.8206086888725279,True,True,100.0
0.1,production_fixed,3,12909,302.9909254743586,0.0001682427404485,8.576469642625384e-05,8.576469642625384e-05,1.9616782599255889,0.9140948336808674,0.8009631203065661,True,True,100.0
0.1,production_fixed,4,12934,236.85034093793485,0.0001312926078326,8.708180910421177e-05,8.708180910421177e-05,1.50769269934988,0.9170944619888339,0.8005599596173532,True,True,100.0
0.1,tolsweep,0,12725,351.4038862039739,0.0001811562290363,7.76065126450772e-05,7.76065126450772e-05,2.3342915802027244,0.9271224013645283,0.813407615061526,True,True,100.0
0.1,tolsweep,1,12758,267.2103211333775,0.0001297181659783,6.294030344362101e-05,6.294030344362101e-05,2.0609714107034054,0.9136168885946483,0.8397642401635037,True,True,100.0
0.01,tolsweep,0,12933,633.0895624243958,0.0005361848132381,5.804665761193353e-05,5.804665761193353e-05,9.237135009955653,0.9134917160023586,0.7884995827743484,True,True,
0.01,tolsweep,1,12877,273.2521907019365,0.0001296021847075,5.954909276267845e-05,5.954909276267845e-05,2.176392262162663,0.9128628089863811,0.8247734211532044,True,True,
