arm,barrier_every,sigma,replicate,n_simulations,elapsed_wall_s,throughput_sims_per_s,full_history_mean_abs_error,full_history_w1_to_analytic,ess,ess_fraction,n_particles_used,archive_mean_abs_error,archive_w1_to_analytic
twin_coarse,2.0,0.0,0,21120,468.971036195755,45.0347641323935,0.016860167409716367,0.23275528203165838,1495.262948692118,0.07079843507064952,21120.0,0.0018298789972498314,0.019603901975073987
twin_coarse,2.0,0.0,1,21120,467.1796553134918,45.20744805513381,0.004513758730573518,0.15986203049150804,2232.9651836319313,0.10572751816439069,21120.0,0.005812857973680828,0.023986038442504295
twin_coarse,2.0,0.0,2,21120,467.4558947086334,45.18073306822701,0.001042055153021089,0.14752363026683962,3241.3801707441366,0.153474439902658,21120.0,0.00959959317266356,0.01876324322035269
twin_coarse,2.0,0.0,3,21120,468.71167039871216,45.05968452211603,0.025836005368084527,0.22639434526751892,1683.6758460186718,0.07971950028497499,21120.0,0.02257775388619135,0.02435757375323161
twin_coarse,2.0,0.0,4,21120,468.9242286682129,45.039259455589885,0.0114416937111039,0.2188909978431322,1912.4919538982367,0.09055359630199984,21120.0,0.0015350376996632609,0.00913315429438461
twin_coarse,2.0,0.5,0,6912,349.6645059585572,19.767519671611225,0.07197683328811436,0.46205617669928206,665.6149891298829,0.09629846486254093,6912.0,0.015031074979812521,0.01781170064209096
twin_coarse,2.0,0.5,1,6912,346.44836831092834,19.95102483437492,0.02566537179246857,0.1892016533744082,1319.126710650315,0.19084587827695532,6912.0,0.010527887344407558,0.019401963253422888
twin_coarse,2.0,0.5,2,6912,349.1771445274353,19.79511004179403,0.05749053178229371,0.4299906296677688,618.6057746049005,0.08949736322408862,6912.0,0.009098440757975043,0.026451733491693788
twin_coarse,2.0,0.5,3,6912,339.2039771080017,20.37711956955987,0.0442979650777452,0.20189353390431525,1164.5709858518387,0.16848538568458316,6912.0,0.01873360192396986,0.024668154422103395
twin_coarse,2.0,0.5,4,6912,357.527330160141,19.332787781297807,0.00865492455423856,0.29058798265833463,749.0945519661569,0.1083759479117704,6912.0,0.011042773623215867,0.019045304575273606
twin_coarse,2.0,1.0,0,2112,312.9438683986664,6.748814126977797,0.08213565088559209,2.1621881783972396,350.5481314121837,0.16597922888834454,2112.0,0.010605806863642209,0.015736105233620575
twin_coarse,2.0,1.0,1,2112,273.6714107990265,7.717284000669583,0.13746914669875016,2.2350874052575547,348.7592874753378,0.16513223838794405,2112.0,0.0029329120609059983,0.018265919416042373
twin_coarse,2.0,1.0,2,2112,325.1200401782989,6.496062189343232,0.18125605685620833,2.2155391234704966,350.614126651261,0.1660104766341198,2112.0,0.011115185680279235,0.01923309348021533
twin_coarse,2.0,1.0,3,2112,347.9228127002716,6.070311928121382,0.07227486180038795,2.11934232987089,305.553425512714,0.14467491738291383,2112.0,0.012534405993913526,0.02018550425816842
twin_coarse,2.0,1.0,4,2112,332.78070425987244,6.346521817414972,0.06733357351407535,2.1899593794402947,321.2819710378108,0.15212214537775134,2112.0,0.0018470805894520992,0.010310161128523747
