#CellID CenterX CenterY CenterZ Volume Surface Type Signal0 Signal1 Signal2 Age PolarityX PolarityY PolarityZ MotilityDirX MotilityDirY MotilityDirZ
0 -1 -1 -1 0.000000 0.000000 0 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 -1 -1 -1 0.000000 0.000000 1 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 -1 -1 -1 0.000000 0.000000 2 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 -1 -1 -1 0.000000 0.000000 3 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 -1 -1 -1 0.000000 0.000000 4 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 -1 -1 -1 0.000000 0.000000 5 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 -1 -1 -1 0.000000 0.000000 6 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12 31 31 32 400.000000 549.515023 9 0.0000e+00 0.0000e+00 0.0000e+00 196 0.000000 1.000000 0.000000 -220.003778 1684.857450 -67.917629
50 25 16 33 426.000000 580.879226 9 0.0000e+00 0.0000e+00 0.0000e+00 66 0.000000 1.000000 0.000000 -438.504443 1945.855987 146.144892
57 33 19 10 340.000000 428.985272 9 0.0000e+00 0.0000e+00 0.0000e+00 25 0.000000 1.000000 0.000000 1569.398808 214.332352 -8.742324
13 18 16 22 433.000000 636.893774 9 0.0000e+00 0.0000e+00 0.0000e+00 302 0.000000 1.000000 0.000000 -149.260697 -818.381066 1485.810484
35 35 31 18 314.000000 407.025251 9 0.0000e+00 0.0000e+00 0.0000e+00 14 0.000000 1.000000 0.000000 1647.193870 127.014415 5.488413
9 24 43 26 461.000000 554.498578 9 0.0000e+00 0.0000e+00 0.0000e+00 38 0.000000 1.000000 0.000000 4.547724 58.108268 1255.012772
15 16 32 18 471.000000 548.115480 9 0.0000e+00 0.0000e+00 0.0000e+00 73 0.000000 1.000000 0.000000 1788.955511 -529.999895 720.234887
