k,throughput_w48,throughput_rel_k100_pct,worst_abs_dev,worst_abs_dev_d,mean_abs_dev,baseline_overtakes_at_workers,baseline_overtakes_at_nodes,throughput_w1,throughput_w4,throughput_w16,throughput_w144,throughput_w192,throughput_w240,throughput_w288
50,6684.137388217348,7.10917291311377,0.2501875,8.0,0.07127187500000001,192,4,255.7668235196528,681.2667550989548,2276.257117331276,4115.188636926206,2666.3048942055925,2145.921737464772,1756.9255709646764
100,6240.490152640311,0.0,0.06412499999999999,4.0,0.031362499999999995,192,4,149.1634336243104,369.37224119413713,1982.93841240308,4195.043056289742,2614.671369769467,2088.409904019527,1728.6550408843998
200,5904.423012111882,-5.385268341241456,0.1801875,8.0,0.06760000000000001,192,4,81.51409419497982,280.5519277440716,1639.630125112734,4080.03446277331,2489.875957018231,2018.012892814995,1649.1694408591454
400,5393.011175400814,-13.580327129927994,0.1945625,8.0,0.08326562499999998,144,3,67.32999325543284,161.9732990052802,1086.623427151435,3520.989168711967,2265.347730025197,1860.8898380389248,1511.3540137301518
800,4331.328902239886,-30.593129765498816,0.07374999999999998,1.0,0.06488437499999998,144,3,90.62577792329483,138.4837612102968,733.2554872009383,3197.4612900026464,2021.4355369057216,1621.0756226041872,1397.2849513088413
1000,3803.979657157808,-39.04357567893334,,,,144,3,106.3138031230692,132.7724974420707,620.2660583594949,2804.211902259635,1956.9749024603752,1586.5662870629164,1336.1242351382114
