method,division_rate,cell_volume
async,0.4312769841996363,0.5103701962596527
async,0.4002223776629345,0.472398162782888
async,0.350105916427146,0.5883636849062872
async,0.3823635053250934,0.4883354450999732
async,0.3735486763309114,0.5968969049579248
async,0.3799548730719547,0.6030305918129423
async,0.3642057639402472,0.5473167669059033
async,0.3814742634974927,0.5133869292971327
async,0.3882904755843318,0.5619539297209444
async,0.4101706581957184,0.4581018093478026
async,0.3711942045943798,0.4500078446343886
async,0.3793114901696844,0.5164349459770747
async,0.3711942045943798,0.4500078446343886
async,0.4298140936177952,0.6477851018201757
async,0.3508636153515169,0.5057110475463409
async,0.3791910182189622,0.5222847064730667
async,0.3951591171259365,0.5507703714358156
async,0.3889922432665121,0.5543391357179229
async,0.414289128245102,0.651895871947533
async,0.3698201742941808,0.5616525713598292
async,0.3946908836798479,0.4753401878203387
async,0.3979543613286305,0.5460022468898817
async,0.4116678410840738,0.5294090074744994
async,0.3564909960670914,0.4704144986650697
async,0.3834606369897061,0.5374015975079984
async,0.4197219706578259,0.5545200118320022
async,0.3835766536271858,0.5722472631396154
async,0.3931224925202715,0.6193108337067207
async,0.360354041790724,0.4999019144691479
async,0.3667759854936149,0.5180376706554627
async,0.4338378480829336,0.6244436010033592
async,0.361490250848607,0.5846960355817248
async,0.3389939602098553,0.4949747175251387
async,0.3898367831896207,0.5861380521392486
async,0.3931003295947587,0.5617109373039189
async,0.364474206142363,0.5169053181489143
async,0.3794052417586628,0.5568788089903207
async,0.4246632119487448,0.5878415838977711
async,0.4249152164192432,0.562395561161497
async,0.4017510043776716,0.5899000901405764
async,0.3784757010366787,0.5698479581524696
async,0.3856453683414784,0.5088424554806597
async,0.3711942045943798,0.4500078446343886
async,0.3813050009448681,0.5953948225989822
async,0.3875139159133496,0.6296044902161966
async,0.37994600606831,0.5067849246453252
async,0.4015945979730186,0.6110126216484307
async,0.4082143341717791,0.5392417191145252
async,0.3837482146868434,0.5667665952217275
async,0.3835438094883637,0.5305720803992521
async,0.40971901357324,0.6647376323937279
async,0.3931003295947587,0.5617109373039189
async,0.3476566477047432,0.5691262498076488
async,0.3900143622892995,0.5679131049114631
async,0.3907697617139351,0.5392775904915045
async,0.3617367708939255,0.5372637653907328
async,0.3673620678884009,0.6101722056142765
async,0.3990871697513109,0.5320139330176836
async,0.3765978349343338,0.5431900403670491
async,0.4285737672465598,0.622222495089907
async,0.3830416919153896,0.4977936338390349
async,0.3446204273488298,0.5262718896214166
async,0.3874939710942013,0.5795214781750634
async,0.4204223444005988,0.6301514220262754
async,0.4068787542050837,0.6112214911243308
async,0.3910321236601901,0.5124505807919535
async,0.3852739129050154,0.5264785428049585
async,0.3914031280676461,0.5109591491797065
async,0.371254129809743,0.5402339441506625
async,0.4002223776629345,0.472398162782888
async,0.3882220574336396,0.4791672967855717
async,0.3717305229604785,0.4661167205777856
async,0.3865677827612854,0.5415060053203941
async,0.3439646217359914,0.4952734924745584
async,0.4200143625241156,0.5392833554127547
async,0.3641881598398847,0.5802400224097775
async,0.3785210810030271,0.534015171505957
async,0.3819131185264128,0.5946621800013221
async,0.3758160153560114,0.5347935625845932
async,0.4041038874828148,0.5354008637892246
async,0.3562358350555004,0.573102870031525
async,0.3590571147488087,0.5704053034877067
async,0.3989083021525872,0.5284722113201341
async,0.3904200727349829,0.6141842286319046
async,0.3944204256636442,0.6749576660585604
async,0.3590873366888925,0.5603306195296065
async,0.4093006429515096,0.5116729437137417
async,0.369263620640143,0.5794103578925486
async,0.387349162936538,0.5987401417906771
async,0.3319184109435756,0.5274912717814633
async,0.4134277817137425,0.5641625877846415
async,0.3844637191745134,0.6609647268532834
async,0.3711942045943798,0.4500078446343886
async,0.4066836291738993,0.5146411364000243
async,0.4002412127512683,0.5917031175983283
async,0.3962105410939088,0.6156140951942818
async,0.3746366708492172,0.5547759880379511
async,0.4142226346364827,0.6933992336909599
async,0.3826573485858739,0.564271815674527
async,0.370922361669563,0.5875578781447637
async,0.3637059856293184,0.5919734066934764
async,0.399589138033104,0.4923384464111456
async,0.3899179772262836,0.6602622006959002
async,0.3308181342169021,0.5328075228374065
async,0.410704926611,0.5961406429984588
async,0.4082143341717791,0.5392417191145252
async,0.4187519403770608,0.5851513112994298
async,0.3850157740741555,0.5693690964607987
async,0.3941854671941471,0.535165527599374
async,0.3969627384998385,0.6761295232477272
async,0.3689271992479804,0.5266045328921543
async,0.3743406435635176,0.6220566791622218
async,0.4102515827925903,0.514230210841638
async,0.4041038874828148,0.5354008637892246
async,0.3734540160121421,0.4690777613443909
async,0.3952477703717936,0.5042749444506887
async,0.4260465099128253,0.6473847125830994
async,0.3914360201729359,0.5148875354935558
async,0.3899179772262836,0.6602622006959002
async,0.3659070712127956,0.5960937081395378
async,0.3549362890591308,0.5683491880726128
async,0.3870610479184199,0.5923654032186909
async,0.3757759667327242,0.6067710251490007
async,0.3690120090047058,0.5958241859718064
async,0.4192148967605136,0.6117798417056733
async,0.3838728440983548,0.5807154502854525
async,0.4093006429515096,0.5116729437137417
async,0.3943169295299886,0.5500764238841321
async,0.3572925506323567,0.6404482587284978
async,0.4111981204872845,0.6039679198886106
async,0.371379254182134,0.5934753636341777
async,0.4338378480829336,0.6244436010033592
async,0.4142226346364827,0.6933992336909599
async,0.409578965440017,0.6134654619101971
async,0.3863939607814843,0.63312438388187
async,0.384218576110316,0.536618944991241
async,0.3792894960279065,0.4645057250769829
async,0.4215109553234105,0.5843979127399925
async,0.3995124524481994,0.5813357278547305
async,0.3389939602098553,0.4949747175251387
async,0.3686044111597041,0.5769547788432265
async,0.3439646217359914,0.4952734924745584
async,0.3914307575265948,0.5774997844858425
async,0.4051625976931662,0.5151909070711542
async,0.4093722304375057,0.6143371392732021
async,0.4279685909760232,0.5659095054886585
async,0.4312769841996363,0.5103701962596527
async,0.3972294760729891,0.5509011256462207
async,0.3932984130617767,0.5566006468756466
async,0.3718642247167076,0.526891346178085
async,0.419535192403784,0.5866742308033275
async,0.3562358350555004,0.573102870031525
async,0.3308181342169021,0.5328075228374065
async,0.3740540363517147,0.5156009677626545
async,0.411019882179069,0.5904567055260773
async,0.3799548730719547,0.6030305918129423
async,0.3764172351055881,0.6310005746515348
async,0.4100543170221978,0.6071479895560359
async,0.3667033893462881,0.5535208058708834
async,0.360354041790724,0.4999019144691479
async,0.374447707892716,0.5934422833809818
async,0.3765978349343338,0.5431900403670491
async,0.3819877103209003,0.5904773326768344
async,0.3566388713754522,0.5743431022869635
async,0.4354134282322113,0.5452066356866188
async,0.3668038096659868,0.5231988172148115
async,0.4093006429515096,0.5116729437137417
async,0.3849876907495049,0.4984463992073141
async,0.387119562517671,0.5172108715265179
async,0.4230815370314596,0.647210529021485
async,0.3642057639402472,0.5473167669059033
async,0.3939739729022717,0.6194193663464016
async,0.4011891005673325,0.5017851004660343
async,0.3865677827612854,0.5415060053203941
async,0.3827149844687419,0.6427874027813963
async,0.4285737672465598,0.622222495089907
async,0.4404642877796347,0.6246422827699023
async,0.391254684263236,0.592760050823928
async,0.3870610479184199,0.5923654032186909
async,0.4139522366465327,0.5324074272993491
async,0.3874939710942013,0.5795214781750634
async,0.3819131185264128,0.5946621800013221
async,0.4182831462584547,0.5863056486738698
async,0.4523171586767374,0.6115769604704939
async,0.4245987590065634,0.46806965123464
async,0.3502146095679452,0.5719577123972754
async,0.3906469572463855,0.6276164096508416
async,0.370336667792409,0.5702108617952446
async,0.4354134282322113,0.5452066356866188
async,0.4200143625241156,0.5392833554127547
async,0.408424567945491,0.5652627075371977
async,0.4101706581957184,0.4581018093478026
async,0.4085485933168258,0.485001295718023
async,0.3551940191308275,0.567240191516038
async,0.4035301111114608,0.5705193026111595
async,0.4197219706578259,0.5545200118320022
async,0.4254251347874916,0.6400551058619508
async,0.3770004426315975,0.4974303650781948
async,0.4108737247481728,0.5919265937578654
async,0.3757759667327242,0.6067710251490007
async,0.3721273653713226,0.4940464955855682
async,0.4238236620340416,0.543324298989921
async,0.3673620678884009,0.6101722056142765
async,0.3308181342169021,0.5328075228374065
async,0.3439646217359914,0.4952734924745584
async,0.3957881639737039,0.5910440690919606
async,0.3809935381618481,0.6078828668620293
async,0.3948261199512966,0.5861052017703249
async,0.3711942045943798,0.4500078446343886
async,0.4147458427111833,0.6018849559551438
async,0.4218903965775849,0.6080307887014
async,0.4118134637149586,0.6371250467015861
async,0.394760217175655,0.6165070930119606
async,0.3590344298973638,0.4420322347506311
async,0.4027053724373974,0.6173313542131752
