benchmark,method,replicate,wall_time,n_records,w1,ess,ess_fraction
gaussian_mean,async_propulate_abc,3,187.5,773149,0.0090052839899764,304.37551085469704,0.0003936828617183
gaussian_mean,async_propulate_abc,3,225.0,963557,0.0072229875349358,193.90374864292417,0.0002012374448454
gaussian_mean,async_propulate_abc,3,262.5,1149812,0.0052999628695211,254.1241930411843,0.0002210136900999
gaussian_mean,async_propulate_abc,3,300.0,1343744,0.0061380045143529,295.86152646456617,0.0002201770028104
gaussian_mean,async_propulate_abc,4,37.5,100227,0.007385437472821,325.34997131378435,0.0032461309957774
gaussian_mean,async_propulate_abc,4,75.0,232005,0.0079050447965038,229.900455687146,0.0009909288838048
gaussian_mean,async_propulate_abc,4,112.5,386945,0.0044850168917098,281.63539928510767,0.0007278434901216
gaussian_mean,async_propulate_abc,4,150.0,558073,0.0078672991770331,275.02000854724776,0.0004928029281962
gaussian_mean,async_propulate_abc,4,187.5,721150,0.0129961146477408,245.4526219150801,0.0003403627843237
gaussian_mean,async_propulate_abc,4,225.0,897639,0.0146395812562675,296.1691459076821,0.0003299423776236
gaussian_mean,async_propulate_abc,4,262.5,1080018,0.018422028126014,235.5985799679,0.0002181431975836
gaussian_mean,async_propulate_abc,4,300.0,1268606,0.0193564578774372,279.5573206633344,0.0002203657563209
gandk,abc_smc_baseline,0,75.0,100,0.0222972567627488,100.0,1.0
gandk,abc_smc_baseline,0,150.0,100,0.0275591487682418,100.0,1.0
gandk,abc_smc_baseline,0,225.0,100,0.0224855582277357,100.0,1.0
gandk,abc_smc_baseline,0,300.0,100,0.0378268861357331,100.0,1.0
gandk,abc_smc_baseline,0,375.0,100,0.0352592530057045,100.0,1.0
gandk,abc_smc_baseline,0,450.0,100,0.0321483738020585,100.0,1.0
gandk,abc_smc_baseline,0,525.0,100,0.0321483738020585,100.0,1.0
gandk,abc_smc_baseline,0,600.0,100,0.0285421363955536,100.0,1.0
gandk,abc_smc_baseline,1,75.0,100,0.0526335848481076,100.0,1.0
gandk,abc_smc_baseline,1,150.0,100,0.0234013273360797,100.0,1.0
gandk,abc_smc_baseline,1,225.0,100,0.0185989387470957,100.0,1.0
gandk,abc_smc_baseline,1,300.0,100,0.0196130893268648,100.0,1.0
gandk,abc_smc_baseline,1,375.0,100,0.0283215680432122,100.0,1.0
gandk,abc_smc_baseline,1,450.0,100,0.0253226708992379,100.0,1.0
gandk,abc_smc_baseline,1,525.0,100,0.0290557532450937,100.0,1.0
gandk,abc_smc_baseline,1,600.0,100,0.0290557532450937,100.0,1.0
gandk,abc_smc_baseline,2,75.0,100,0.0307511930488024,100.0,1.0
gandk,abc_smc_baseline,2,150.0,100,0.0307511930488024,100.0,1.0
gandk,abc_smc_baseline,2,225.0,100,0.0262003234001195,100.0,1.0
gandk,abc_smc_baseline,2,300.0,100,0.01942029767486,100.0,1.0
gandk,abc_smc_baseline,2,375.0,100,0.0176977052612577,100.0,1.0
gandk,abc_smc_baseline,2,450.0,100,0.0163634822366311,100.0,1.0
gandk,abc_smc_baseline,2,525.0,100,0.0163634822366311,100.0,1.0
gandk,abc_smc_baseline,2,600.0,100,0.0161215804268643,100.0,1.0
gandk,abc_smc_baseline,3,75.0,100,0.0430128139694242,100.0,1.0
gandk,abc_smc_baseline,3,150.0,100,0.0318144115971074,100.0,1.0
gandk,abc_smc_baseline,3,225.0,100,0.0318144115971074,100.0,1.0
gandk,abc_smc_baseline,3,300.0,100,0.0318144115971074,100.0,1.0
gandk,abc_smc_baseline,3,375.0,100,0.0318144115971074,100.0,1.0
gandk,abc_smc_baseline,3,450.0,100,0.0318144115971074,100.0,1.0
gandk,abc_smc_baseline,3,525.0,100,0.0318144115971074,100.0,1.0
gandk,abc_smc_baseline,3,600.0,100,0.0318144115971074,100.0,1.0
gandk,abc_smc_baseline,4,75.0,100,0.0531476220000462,100.0,1.0
gandk,abc_smc_baseline,4,150.0,100,0.0252481159707673,100.0,1.0
gandk,abc_smc_baseline,4,225.0,100,0.0208792314126221,100.0,1.0
gandk,abc_smc_baseline,4,300.0,100,0.0208792314126221,100.0,1.0
gandk,abc_smc_baseline,4,375.0,100,0.0208792314126221,100.0,1.0
gandk,abc_smc_baseline,4,450.0,100,0.0208792314126221,100.0,1.0
gandk,abc_smc_baseline,4,525.0,100,0.0208792314126221,100.0,1.0
gandk,abc_smc_baseline,4,600.0,100,0.0208792314126221,100.0,1.0
gandk,async_propulate_abc,0,75.0,118452,0.0897265333229433,1183.7670936164077,0.0099936437849627
gandk,async_propulate_abc,0,150.0,282607,0.3065674793207541,7.479510767930472,2.6466119975550755e-05
gandk,async_propulate_abc,0,225.0,483954,0.3039916669743617,16.462402051569224,3.401646034864724e-05
gandk,async_propulate_abc,0,300.0,722091,0.0954044573839275,165.42670698504122,0.0002290939881331
gandk,async_propulate_abc,0,375.0,981621,0.0897892025400321,186.02013836804684,0.0001895030142672
gandk,async_propulate_abc,0,450.0,1250602,0.0980872046282363,126.86563651037432,0.0001014436539445
gandk,async_propulate_abc,0,525.0,1512501,0.0824541658043577,227.03802326707796,0.0001501076847334
gandk,async_propulate_abc,0,600.0,1779623,0.0785816592605199,290.31288484694886,0.0001631316772411
gandk,async_propulate_abc,1,75.0,130676,0.3900428963893884,77.24347907945351,0.0005911068526696
gandk,async_propulate_abc,1,150.0,282397,0.2961543307379521,47.64782530039863,0.000168726386259
gandk,async_propulate_abc,1,225.0,481535,0.0358397109041496,842.8972350666357,0.0017504381510516
gandk,async_propulate_abc,1,300.0,702311,0.0352729805814827,1318.833021778911,0.0018778475942693
gandk,async_propulate_abc,1,375.0,967134,0.0348151294352536,1739.374849548669,0.0017984838187352
gandk,async_propulate_abc,1,450.0,1218425,0.0347390850204938,2062.15211035629,0.0016924735706804
