#CellID CenterX CenterY CenterZ Volume Surface Type Signal0 Signal1 Signal2 Age PolarityX PolarityY PolarityZ MotilityDirX MotilityDirY MotilityDirZ
0 -1 -1 -1 0.000000 0.000000 0 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 -1 -1 -1 0.000000 0.000000 1 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 -1 -1 -1 0.000000 0.000000 2 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 -1 -1 -1 0.000000 0.000000 3 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 -1 -1 -1 0.000000 0.000000 4 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 -1 -1 -1 0.000000 0.000000 5 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 -1 -1 -1 0.000000 0.000000 6 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12 22 25 39 486.000000 470.060663 9 0.0000e+00 0.0000e+00 0.0000e+00 71 0.000000 1.000000 0.000000 -11.470750 -2.609744 55.405317
50 18 33 19 307.000000 448.462999 9 0.0000e+00 0.0000e+00 0.0000e+00 14 0.000000 1.000000 0.000000 9.408481 -45.517828 18.428451
13 38 24 32 337.000000 392.161535 9 0.0000e+00 0.0000e+00 0.0000e+00 3 0.000000 1.000000 0.000000 -3.247898 -6.940303 34.602637
35 20 26 21 455.000000 531.356152 9 0.0000e+00 0.0000e+00 0.0000e+00 80 0.000000 1.000000 0.000000 47.596352 -12.020930 0.183419
9 33 38 22 262.000000 320.955886 9 0.0000e+00 0.0000e+00 0.0000e+00 2 0.000000 1.000000 0.000000 39.439942 -1.661279 -1.287501
15 16 36 20 326.000000 408.044050 9 0.0000e+00 0.0000e+00 0.0000e+00 14 0.000000 1.000000 0.000000 -19.729973 20.563272 3.163417
21 31 25 14 469.000000 510.608412 9 0.0000e+00 0.0000e+00 0.0000e+00 225 0.000000 1.000000 0.000000 4.903710 -23.182962 -44.028444
19 24 27 11 482.000000 470.545628 9 0.0000e+00 0.0000e+00 0.0000e+00 246 0.000000 1.000000 0.000000 6.048181 -1.369467 -32.342615
