base_method,sigma,median,q1,q3
abc_smc_baseline,0.0,0.0269324564575738,0.0268920726801761,0.0372209345089471
abc_smc_baseline,0.5,0.0083801147685157,0.0075540999857844,0.0114367670069069
abc_smc_baseline,1.0,0.0072038951777782,0.0016124944048835,0.0100835938483101
abc_smc_baseline,2.0,0.005648071738355,0.0055028367582981,0.0059535713162652
async_propulate_abc,0.0,0.0094522013593973,0.0083408965798229,0.0119940803138113
async_propulate_abc,0.5,0.0132173199357642,0.0059332329751584,0.0165748154608821
async_propulate_abc,1.0,0.0072971207640103,0.005870029607964,0.010668085273625
async_propulate_abc,2.0,0.0115323983016973,0.0092272386279591,0.0147663137643822
