base_method,sigma,median,q1,q3
abc_smc_baseline,0.0,839.0963962351308,799.3237771927099,883.5359457212372
abc_smc_baseline,0.5,625.5635512732326,608.2998228066144,677.1275808785489
abc_smc_baseline,1.0,437.44667507827967,419.2190997009367,460.2051297426964
abc_smc_baseline,2.0,251.39414116945295,241.22397690877474,252.91819882935016
async_propulate_abc,0.0,1881.330299775481,1878.9355355424016,1881.7133639498752
async_propulate_abc,0.5,2013.8627853379407,1906.6185292664509,2019.2892328560272
async_propulate_abc,1.0,1569.802342454523,1454.6399683161674,1691.012256904354
async_propulate_abc,2.0,1145.7043448254421,1111.717227578414,1206.141720513424
