benchmark,method,replicate,n,eps,n_sims,wall_s,mean_sim_s
gaussian_mean,sync,0,200,2.8395427034058915,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,237,2.277917293190415,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,281,1.862745741433517,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,334,1.599832577198521,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,396,1.18328283510278,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,470,1.0246314680381288,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,558,0.8895198539828206,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,663,0.6860009253153979,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,786,0.5438236837501752,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,933,0.3768063640722362,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,1108,0.2626471448571699,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,1315,0.1955406712860419,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,1560,0.1291707144285248,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,1852,0.0831273864749584,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,2198,0.0529895781039002,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,2608,0.0332829353735761,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,3095,0.0196325845942194,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,3673,0.0127895129875891,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,4359,0.0088576704909216,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,5174,0.0062372996265385,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,6140,0.0043519408517317,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,7287,0.0036708899785714,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,8647,0.0025130594629089,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,10262,0.0019960510477079,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,12179,0.0017297452851527,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,14453,0.0014843142378947,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,17153,0.0013593053906102,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,20356,0.0010923341209397,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,24158,0.0009177968023074,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,28669,0.0008026998381154,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,34023,0.0005823488611519,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,40377,0.0004793816136537,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,47917,0.0003950276775767,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,56866,0.0002905441004646,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,67485,0.0002616814782747,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,80088,0.0002342465794892,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,95044,0.0002159399020499,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,112794,0.0001864107186613,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,133858,0.000157273750216,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,158856,0.0001341013936388,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,188521,0.0001010583037158,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,223727,8.243640453763773e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,265508,6.356850816522513e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,315091,5.67954239510185e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,373934,4.501502523097944e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,443765,3.670960184234268e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,526637,3.310276136819085e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,624985,2.818149156569305e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,741700,2.571171519463039e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,880210,2.179105598407172e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,1044587,1.7627344894063923e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,1239661,1.4474142827562708e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,1471165,1.3234583634502696e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,1745902,1.1638013095380262e-05,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,2071944,9.454122513311014e-06,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,2458875,8.328801162540977e-06,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,2918063,7.25030228071466e-06,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,3463004,5.825132597524207e-06,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,4109711,4.916304032258345e-06,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,0,4877190,4.404797096450863e-06,4877190,299.9999282360077,9.864030510028879e-05
gaussian_mean,sync,1,200,2.1713145497598108,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,236,1.9134166885038808,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,280,1.4294237600381705,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,332,1.0833900884291312,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,393,0.9445351803012628,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,466,0.6801134139579431,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,552,0.5185082753707572,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,653,0.4495312554418243,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,774,0.3362816689213863,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,917,0.2589762675221276,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,1086,0.1962360653215717,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,1286,0.1512203576901942,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,1523,0.1044406194752924,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,1804,0.0800041094021379,4331934,299.99959993362427,9.802788680269003e-05
