benchmark,dim,sim_cost_s,wall_s,n_async,n_sync,n_match,throughput_ratio,eps_async_matched,eps_sync_matched,per_simulation_ratio,eps_async_full,eps_sync_full,equal_wall_clock_ratio
gaussian_mean,1,0.0001269278708613444,299.9997432231903,1307897.0,4612357.0,1307897,0.28356369639210494,1.8674361175197163e-05,1.4474142827562708e-05,0.775081015718327,1.6153522599447745e-05,3.909546477873227e-06,0.242024391509929
gandk,4,0.00171395961764745,599.9997719526291,1745586.0,3811120.0,1745586,0.45802441277104894,0.0301457318225866,0.0320524138548887,1.0632488222055212,0.0295494138059603,0.0259803472516164,0.8792170099285016
lotka_volterra,4,0.0041540992498773,599.9998216629028,1505260.0,1562494.0,1505260,0.9633700993411815,0.1035640812103127,0.1346198044047021,1.2998696346402474,0.0982780934696987,0.1277531436829895,1.2999147538650475
cellular_potts,2,13.50551420060859,3599.5863006114964,12896.0,5400.0,5400,2.388148148148148,0.0002206331646333,0.0003530096034202,1.5999843178921638,7.629015888252514e-05,0.0003118465348574,4.087637769080999
