trial,method,benchmark,param,true_value,rank,n_samples
38,abc_smc_baseline,gaussian_mean,mu,-2.6169434954255832,15,100
39,abc_smc_baseline,gaussian_mean,mu,0.6880134615516571,46,100
40,async_propulate_abc,gaussian_mean,mu,-2.9827196079065,58,100
41,async_propulate_abc,gaussian_mean,mu,4.799839307169107,27,100
42,async_propulate_abc,gaussian_mean,mu,2.8193779975767037,100,100
43,async_propulate_abc,gaussian_mean,mu,-3.1982592042951463,63,100
44,async_propulate_abc,gaussian_mean,mu,-0.7525326290469092,89,100
45,async_propulate_abc,gaussian_mean,mu,-2.87010323915585,53,100
46,async_propulate_abc,gaussian_mean,mu,-2.0542026223979915,35,100
47,async_propulate_abc,gaussian_mean,mu,-3.227613779849769,9,100
48,async_propulate_abc,gaussian_mean,mu,0.0714542155556152,48,100
49,async_propulate_abc,gaussian_mean,mu,1.116789033906107,66,100
50,async_propulate_abc,gaussian_mean,mu,4.136251186134892,39,100
51,async_propulate_abc,gaussian_mean,mu,-0.0246215814920329,66,100
52,async_propulate_abc,gaussian_mean,mu,-4.5226810416941055,46,100
53,async_propulate_abc,gaussian_mean,mu,-1.581344932244746,22,100
54,async_propulate_abc,gaussian_mean,mu,4.578030044811289,12,100
55,async_propulate_abc,gaussian_mean,mu,-0.8932981619058387,64,100
56,async_propulate_abc,gaussian_mean,mu,2.053126750438463,17,100
57,async_propulate_abc,gaussian_mean,mu,1.0562180876966911,36,100
58,async_propulate_abc,gaussian_mean,mu,-3.670451661160944,60,100
59,async_propulate_abc,gaussian_mean,mu,4.794673157775828,18,100
40,abc_smc_baseline,gaussian_mean,mu,-2.9827196079065,41,100
41,abc_smc_baseline,gaussian_mean,mu,4.799839307169107,28,100
42,abc_smc_baseline,gaussian_mean,mu,2.8193779975767037,100,100
43,abc_smc_baseline,gaussian_mean,mu,-3.1982592042951463,68,100
44,abc_smc_baseline,gaussian_mean,mu,-0.7525326290469092,96,100
45,abc_smc_baseline,gaussian_mean,mu,-2.87010323915585,42,100
46,abc_smc_baseline,gaussian_mean,mu,-2.0542026223979915,32,100
47,abc_smc_baseline,gaussian_mean,mu,-3.227613779849769,3,100
48,abc_smc_baseline,gaussian_mean,mu,0.0714542155556152,55,100
49,abc_smc_baseline,gaussian_mean,mu,1.116789033906107,68,100
50,abc_smc_baseline,gaussian_mean,mu,4.136251186134892,41,100
51,abc_smc_baseline,gaussian_mean,mu,-0.0246215814920329,82,100
52,abc_smc_baseline,gaussian_mean,mu,-4.5226810416941055,49,100
53,abc_smc_baseline,gaussian_mean,mu,-1.581344932244746,10,100
54,abc_smc_baseline,gaussian_mean,mu,4.578030044811289,8,100
55,abc_smc_baseline,gaussian_mean,mu,-0.8932981619058387,61,100
56,abc_smc_baseline,gaussian_mean,mu,2.053126750438463,7,100
57,abc_smc_baseline,gaussian_mean,mu,1.0562180876966911,32,100
58,abc_smc_baseline,gaussian_mean,mu,-3.670451661160944,32,100
59,abc_smc_baseline,gaussian_mean,mu,4.794673157775828,13,100
60,async_propulate_abc,gaussian_mean,mu,-2.4775340320730943,97,100
61,async_propulate_abc,gaussian_mean,mu,4.634708655037951,62,100
62,async_propulate_abc,gaussian_mean,mu,3.910416215873351,40,100
63,async_propulate_abc,gaussian_mean,mu,-3.051371208643964,66,100
64,async_propulate_abc,gaussian_mean,mu,-4.691223325401622,73,100
65,async_propulate_abc,gaussian_mean,mu,0.4294623110388542,34,100
66,async_propulate_abc,gaussian_mean,mu,-3.3915584947694564,59,100
67,async_propulate_abc,gaussian_mean,mu,-2.283187777223471,92,100
68,async_propulate_abc,gaussian_mean,mu,4.102722726934214,22,100
69,async_propulate_abc,gaussian_mean,mu,-2.064677220893981,30,100
70,async_propulate_abc,gaussian_mean,mu,-3.650270716889852,79,100
71,async_propulate_abc,gaussian_mean,mu,1.7764447615217345,20,100
72,async_propulate_abc,gaussian_mean,mu,-0.9609902260540392,17,100
73,async_propulate_abc,gaussian_mean,mu,3.68800162656645,6,100
74,async_propulate_abc,gaussian_mean,mu,1.4269557043285277,52,100
75,async_propulate_abc,gaussian_mean,mu,2.70136932554607,40,100
76,async_propulate_abc,gaussian_mean,mu,2.290683095453188,94,100
77,async_propulate_abc,gaussian_mean,mu,-0.8767865254804033,38,100
78,async_propulate_abc,gaussian_mean,mu,0.4125214151110246,68,100
79,async_propulate_abc,gaussian_mean,mu,-3.6145543601485697,93,100
60,abc_smc_baseline,gaussian_mean,mu,-2.4775340320730943,98,100
61,abc_smc_baseline,gaussian_mean,mu,4.634708655037951,75,100
62,abc_smc_baseline,gaussian_mean,mu,3.910416215873351,31,100
63,abc_smc_baseline,gaussian_mean,mu,-3.051371208643964,63,100
64,abc_smc_baseline,gaussian_mean,mu,-4.691223325401622,63,100
65,abc_smc_baseline,gaussian_mean,mu,0.4294623110388542,36,100
66,abc_smc_baseline,gaussian_mean,mu,-3.3915584947694564,61,100
67,abc_smc_baseline,gaussian_mean,mu,-2.283187777223471,92,100
68,abc_smc_baseline,gaussian_mean,mu,4.102722726934214,30,100
69,abc_smc_baseline,gaussian_mean,mu,-2.064677220893981,18,100
70,abc_smc_baseline,gaussian_mean,mu,-3.650270716889852,93,100
71,abc_smc_baseline,gaussian_mean,mu,1.7764447615217345,7,100
72,abc_smc_baseline,gaussian_mean,mu,-0.9609902260540392,5,100
73,abc_smc_baseline,gaussian_mean,mu,3.68800162656645,1,100
74,abc_smc_baseline,gaussian_mean,mu,1.4269557043285277,36,100
75,abc_smc_baseline,gaussian_mean,mu,2.70136932554607,50,100
76,abc_smc_baseline,gaussian_mean,mu,2.290683095453188,94,100
77,abc_smc_baseline,gaussian_mean,mu,-0.8767865254804033,46,100
78,abc_smc_baseline,gaussian_mean,mu,0.4125214151110246,73,100
79,abc_smc_baseline,gaussian_mean,mu,-3.6145543601485697,97,100
80,async_propulate_abc,gaussian_mean,mu,3.787965842559661,20,100
81,async_propulate_abc,gaussian_mean,mu,-0.4977603936696493,67,100
82,async_propulate_abc,gaussian_mean,mu,-4.217951171427266,94,100
83,async_propulate_abc,gaussian_mean,mu,-3.13012684050428,24,100
84,async_propulate_abc,gaussian_mean,mu,0.2863822504452233,94,100
85,async_propulate_abc,gaussian_mean,mu,0.4660116152114701,0,100
86,async_propulate_abc,gaussian_mean,mu,3.207802852832259,34,100
87,async_propulate_abc,gaussian_mean,mu,0.9301410441822276,60,100
88,async_propulate_abc,gaussian_mean,mu,3.041668020883062,38,100
89,async_propulate_abc,gaussian_mean,mu,3.371618346065216,70,100
90,async_propulate_abc,gaussian_mean,mu,2.474246902451921,100,100
91,async_propulate_abc,gaussian_mean,mu,2.35000300114384,25,100
92,async_propulate_abc,gaussian_mean,mu,1.0229898884490929,26,100
93,async_propulate_abc,gaussian_mean,mu,-1.5100593437330545,32,100
94,async_propulate_abc,gaussian_mean,mu,-3.2845735747922475,92,100
95,async_propulate_abc,gaussian_mean,mu,4.817761850491856,10,100
96,async_propulate_abc,gaussian_mean,mu,3.87278911733652,31,100
97,async_propulate_abc,gaussian_mean,mu,-0.7196028641373111,20,100
98,async_propulate_abc,gaussian_mean,mu,3.3098592394531163,10,100
99,async_propulate_abc,gaussian_mean,mu,3.9502826590517497,19,100
80,abc_smc_baseline,gaussian_mean,mu,3.787965842559661,25,100
81,abc_smc_baseline,gaussian_mean,mu,-0.4977603936696493,72,100
82,abc_smc_baseline,gaussian_mean,mu,-4.217951171427266,100,100
83,abc_smc_baseline,gaussian_mean,mu,-3.13012684050428,31,100
84,abc_smc_baseline,gaussian_mean,mu,0.2863822504452233,100,100
85,abc_smc_baseline,gaussian_mean,mu,0.4660116152114701,0,100
86,abc_smc_baseline,gaussian_mean,mu,3.207802852832259,20,100
87,abc_smc_baseline,gaussian_mean,mu,0.9301410441822276,70,100
88,abc_smc_baseline,gaussian_mean,mu,3.041668020883062,22,100
89,abc_smc_baseline,gaussian_mean,mu,3.371618346065216,91,100
90,abc_smc_baseline,gaussian_mean,mu,2.474246902451921,100,100
91,abc_smc_baseline,gaussian_mean,mu,2.35000300114384,35,100
92,abc_smc_baseline,gaussian_mean,mu,1.0229898884490929,14,100
93,abc_smc_baseline,gaussian_mean,mu,-1.5100593437330545,27,100
94,abc_smc_baseline,gaussian_mean,mu,-3.2845735747922475,100,100
95,abc_smc_baseline,gaussian_mean,mu,4.817761850491856,3,100
96,abc_smc_baseline,gaussian_mean,mu,3.87278911733652,54,100
97,abc_smc_baseline,gaussian_mean,mu,-0.7196028641373111,17,100
98,abc_smc_baseline,gaussian_mean,mu,3.3098592394531163,21,100
99,abc_smc_baseline,gaussian_mean,mu,3.9502826590517497,15,100
100,async_propulate_abc,gaussian_mean,mu,2.3135115743662933,88,100
101,async_propulate_abc,gaussian_mean,mu,1.5459722114779106,47,100
102,async_propulate_abc,gaussian_mean,mu,-3.973630202342543,88,100
103,async_propulate_abc,gaussian_mean,mu,-4.151956095601673,94,100
104,async_propulate_abc,gaussian_mean,mu,-3.8895582810743,56,100
105,async_propulate_abc,gaussian_mean,mu,-3.879387071625012,88,100
106,async_propulate_abc,gaussian_mean,mu,-2.664146082606964,25,100
107,async_propulate_abc,gaussian_mean,mu,-1.957752988955158,68,100
108,async_propulate_abc,gaussian_mean,mu,3.251989269700097,57,100
109,async_propulate_abc,gaussian_mean,mu,-2.2465489805385275,92,100
110,async_propulate_abc,gaussian_mean,mu,0.4593420511335164,100,100
111,async_propulate_abc,gaussian_mean,mu,-4.22452082247087,52,100
112,async_propulate_abc,gaussian_mean,mu,-3.935621796492159,52,100
113,async_propulate_abc,gaussian_mean,mu,-1.303804467812899,40,100
114,async_propulate_abc,gaussian_mean,mu,4.094885278750724,11,100
115,async_propulate_abc,gaussian_mean,mu,4.676246027074441,74,100
116,async_propulate_abc,gaussian_mean,mu,4.974586532941679,100,100
117,async_propulate_abc,gaussian_mean,mu,-1.3691215789304287,31,100
118,async_propulate_abc,gaussian_mean,mu,-4.952308059634864,16,100
119,async_propulate_abc,gaussian_mean,mu,2.931156074414454,17,100
100,abc_smc_baseline,gaussian_mean,mu,2.3135115743662933,93,100
101,abc_smc_baseline,gaussian_mean,mu,1.5459722114779106,76,100
102,abc_smc_baseline,gaussian_mean,mu,-3.973630202342543,90,100
103,abc_smc_baseline,gaussian_mean,mu,-4.151956095601673,97,100
104,abc_smc_baseline,gaussian_mean,mu,-3.8895582810743,54,100
105,abc_smc_baseline,gaussian_mean,mu,-3.879387071625012,94,100
106,abc_smc_baseline,gaussian_mean,mu,-2.664146082606964,14,100
