#CellID CenterX CenterY CenterZ Volume Surface Type Signal0 Signal1 Signal2 Age PolarityX PolarityY PolarityZ MotilityDirX MotilityDirY MotilityDirZ
0 -1 -1 -1 0.000000 0.000000 0 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 -1 -1 -1 0.000000 0.000000 1 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 -1 -1 -1 0.000000 0.000000 2 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 -1 -1 -1 0.000000 0.000000 3 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 -1 -1 -1 0.000000 0.000000 4 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 -1 -1 -1 0.000000 0.000000 5 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 -1 -1 -1 0.000000 0.000000 6 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12 30 35 20 335.000000 348.192018 9 0.0000e+00 0.0000e+00 0.0000e+00 5 0.000000 1.000000 0.000000 -0.602974 -0.291053 43.714978
46 30 18 28 320.000000 454.293807 9 0.0000e+00 0.0000e+00 0.0000e+00 13 0.000000 1.000000 0.000000 11.832725 35.295279 -33.380083
31 21 34 34 483.000000 436.897470 9 0.0000e+00 0.0000e+00 0.0000e+00 61 0.000000 1.000000 0.000000 3.233767 13.160703 -48.128356
40 19 33 28 471.000000 468.335508 9 0.0000e+00 0.0000e+00 0.0000e+00 61 0.000000 1.000000 0.000000 30.096188 -2.215558 24.623400
33 25 22 10 478.000000 460.095564 9 0.0000e+00 0.0000e+00 0.0000e+00 62 0.000000 1.000000 0.000000 0.000108 20.921325 45.412533
13 11 20 24 468.000000 461.511113 9 0.0000e+00 0.0000e+00 0.0000e+00 106 0.000000 1.000000 0.000000 -48.169876 4.844315 1.088050
16 11 31 26 317.000000 378.447116 9 0.0000e+00 0.0000e+00 0.0000e+00 15 0.000000 1.000000 0.000000 -9.908390 20.075304 -36.944181
35 25 12 20 468.000000 495.621431 9 0.0000e+00 0.0000e+00 0.0000e+00 25 0.000000 1.000000 0.000000 -18.781189 19.447006 -42.060443
