#CellID CenterX CenterY CenterZ Volume Surface Type Signal0 Signal1 Signal2 Age PolarityX PolarityY PolarityZ MotilityDirX MotilityDirY MotilityDirZ
0 -1 -1 -1 0.000000 0.000000 0 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 -1 -1 -1 0.000000 0.000000 1 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 -1 -1 -1 0.000000 0.000000 2 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 -1 -1 -1 0.000000 0.000000 3 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 -1 -1 -1 0.000000 0.000000 4 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 -1 -1 -1 0.000000 0.000000 5 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 -1 -1 -1 0.000000 0.000000 6 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12 30 35 20 328.000000 340.518429 9 0.0000e+00 0.0000e+00 0.0000e+00 4 0.000000 1.000000 0.000000 -0.602974 -0.291053 43.714978
46 30 19 28 313.000000 450.837550 9 0.0000e+00 0.0000e+00 0.0000e+00 12 0.000000 1.000000 0.000000 11.832725 35.295279 -33.380083
31 21 34 33 493.000000 455.973273 9 0.0000e+00 0.0000e+00 0.0000e+00 60 0.000000 1.000000 0.000000 3.233767 13.160703 -48.128356
40 19 33 28 478.000000 482.389112 9 0.0000e+00 0.0000e+00 0.0000e+00 60 0.000000 1.000000 0.000000 30.096188 -2.215558 24.623400
33 25 22 10 479.000000 470.513177 9 0.0000e+00 0.0000e+00 0.0000e+00 61 0.000000 1.000000 0.000000 0.000108 20.921325 45.412533
13 11 20 24 477.000000 480.269079 9 0.0000e+00 0.0000e+00 0.0000e+00 105 0.000000 1.000000 0.000000 -48.169876 4.844315 1.088050
16 11 31 26 307.000000 365.104699 9 0.0000e+00 0.0000e+00 0.0000e+00 14 0.000000 1.000000 0.000000 -9.908390 20.075304 -36.944181
35 25 12 20 467.000000 494.326838 9 0.0000e+00 0.0000e+00 0.0000e+00 24 0.000000 1.000000 0.000000 -18.781189 19.447006 -42.060443
