#CellID CenterX CenterY CenterZ Volume Surface Type Signal0 Signal1 Signal2 Age PolarityX PolarityY PolarityZ MotilityDirX MotilityDirY MotilityDirZ
0 -1 -1 -1 0.000000 0.000000 0 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1 -1 -1 -1 0.000000 0.000000 1 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2 -1 -1 -1 0.000000 0.000000 2 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3 -1 -1 -1 0.000000 0.000000 3 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4 -1 -1 -1 0.000000 0.000000 4 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5 -1 -1 -1 0.000000 0.000000 5 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6 -1 -1 -1 0.000000 0.000000 6 0.0000e+00 0.0000e+00 0.0000e+00 0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
12 34 31 31 474.000000 520.879761 9 0.0000e+00 0.0000e+00 0.0000e+00 171 0.000000 1.000000 0.000000 52.402569 3.557952 0.713800
31 23 29 16 413.000000 444.400821 9 0.0000e+00 0.0000e+00 0.0000e+00 32 0.000000 1.000000 0.000000 3.991939 -6.329976 43.433710
33 24 19 24 400.000000 577.457580 9 0.0000e+00 0.0000e+00 0.0000e+00 24 0.000000 1.000000 0.000000 -6.520219 46.514918 17.142029
13 23 32 20 441.000000 560.983860 9 0.0000e+00 0.0000e+00 0.0000e+00 103 0.000000 1.000000 0.000000 -33.491315 22.718966 -5.907923
16 28 35 28 471.000000 504.693544 9 0.0000e+00 0.0000e+00 0.0000e+00 33 0.000000 1.000000 0.000000 -5.761424 -9.475162 38.840783
9 19 22 36 233.000000 305.812609 9 0.0000e+00 0.0000e+00 0.0000e+00 2 0.000000 1.000000 0.000000 -37.243094 8.839176 38.843588
15 19 18 18 463.000000 568.072101 9 0.0000e+00 0.0000e+00 0.0000e+00 242 0.000000 1.000000 0.000000 2.006183 -4.886208 -49.720219
21 30 18 27 428.000000 540.355423 9 0.0000e+00 0.0000e+00 0.0000e+00 110 0.000000 1.000000 0.000000 -29.832233 31.934512 24.294542
19 16 20 27 459.000000 501.074288 9 0.0000e+00 0.0000e+00 0.0000e+00 139 0.000000 1.000000 0.000000 -34.977921 -1.655761 30.728778
24 28 19 21 410.000000 471.460206 9 0.0000e+00 0.0000e+00 0.0000e+00 24 0.000000 1.000000 0.000000 37.810135 2.368432 -3.530718
25 20 33 32 480.000000 476.569162 9 0.0000e+00 0.0000e+00 0.0000e+00 57 0.000000 1.000000 0.000000 -49.415848 -6.796453 -3.447054
11 14 30 30 488.000000 466.620218 9 0.0000e+00 0.0000e+00 0.0000e+00 57 0.000000 1.000000 0.000000 3.116354 1.534663 -49.879186
27 26 19 34 464.000000 539.022213 9 0.0000e+00 0.0000e+00 0.0000e+00 48 0.000000 1.000000 0.000000 11.537549 -32.851593 29.971601
20 34 29 24 424.000000 494.561634 9 0.0000e+00 0.0000e+00 0.0000e+00 25 0.000000 1.000000 0.000000 15.898862 16.831747 44.316120
10 29 28 16 442.000000 495.519590 9 0.0000e+00 0.0000e+00 0.0000e+00 32 0.000000 1.000000 0.000000 16.970065 40.521888 -23.874537
17 30 22 16 463.000000 519.003510 9 0.0000e+00 0.0000e+00 0.0000e+00 162 0.000000 1.000000 0.000000 -24.180028 43.481411 4.969220
30 35 23 27 441.000000 537.047205 9 0.0000e+00 0.0000e+00 0.0000e+00 33 0.000000 1.000000 0.000000 38.603581 2.340111 1.653736
28 19 31 25 455.000000 505.228397 9 0.0000e+00 0.0000e+00 0.0000e+00 48 0.000000 1.000000 0.000000 -27.366713 -9.927752 25.094829
34 23 23 34 261.000000 354.327521 9 0.0000e+00 0.0000e+00 0.0000e+00 2 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000
18 25 30 36 482.000000 477.539847 9 0.0000e+00 0.0000e+00 0.0000e+00 97 0.000000 1.000000 0.000000 -0.192437 35.434158 35.217269
29 25 26 27 412.000000 520.397467 9 0.0000e+00 0.0000e+00 0.0000e+00 33 0.000000 1.000000 0.000000 3.062580 3.711053 43.997060
26 20 23 19 445.000000 473.530983 9 0.0000e+00 0.0000e+00 0.0000e+00 49 0.000000 1.000000 0.000000 -25.354379 -32.789773 3.372714
8 20 18 24 429.000000 540.389622 9 0.0000e+00 0.0000e+00 0.0000e+00 49 0.000000 1.000000 0.000000 -35.496021 -10.284945 0.120967
14 34 18 29 393.000000 420.252905 9 0.0000e+00 0.0000e+00 0.0000e+00 33 0.000000 1.000000 0.000000 35.084445 -35.511336 2.833153
22 25 36 24 465.000000 530.084803 9 0.0000e+00 0.0000e+00 0.0000e+00 48 0.000000 1.000000 0.000000 -39.191028 -1.205580 -6.442976
32 30 27 26 363.000000 474.965015 9 0.0000e+00 0.0000e+00 0.0000e+00 25 0.000000 1.000000 0.000000 -10.131828 -45.700257 17.573632
23 20 26 30 465.000000 517.174354 9 0.0000e+00 0.0000e+00 0.0000e+00 97 0.000000 1.000000 0.000000 -28.321714 -2.555517 39.398697
