arm,level,replicate,n,calls_per_rank_min,calls_per_rank_median,calls_per_rank_max,eps_sched,n_distinct_eps,eps_k,w1_sched,ess_sched,w1_rereport,ess_rereport,archive_w1
twin_fine,0.0,0,75104,4694,4694.0,4694,0.0005071031669107,20,0.000257430410593,0.014600970996168446,304.4521033833054,0.014845363359140133,141.97886644240606,0.027907299962357208
twin_fine,0.0,1,75104,4694,4694.0,4694,0.0004493562224932,19,0.0002743238273247,0.011288575838281306,183.47366418943832,0.012621755184411068,94.3007177113349,0.0172759497548551
twin_fine,0.0,2,75104,4694,4694.0,4694,0.000481243275025,20,0.0002400525537879,0.012690338416460313,228.49732878961146,0.020487251769837667,105.75945452253103,0.008572094099353049
twin_fine,0.0,3,75104,4694,4694.0,4694,0.0004904933205137,21,0.0002813764833721,0.021118159268899653,258.2233843465549,0.025710577632106314,149.12482543226136,0.017155952788432707
twin_fine,0.0,4,75104,4694,4694.0,4694,0.0005349448058189,22,0.0002661754725018,0.008249878642051857,279.3164094427409,0.012528140781933454,146.86919533670408,0.010684482023085617
twin_fine,1.0,0,44512,2782,2782.0,2782,0.0007459625650561,22,0.0004335580259908,0.006642892263518703,266.4307250139627,0.007796090762325703,157.15102797670994,0.020571669844864863
twin_fine,1.0,1,44512,2782,2782.0,2782,0.000649331568799,19,0.0005309289900823,0.021425650707793002,210.6843803949829,0.025868803748780585,173.77412666346729,0.036002424745435815
twin_fine,1.0,2,44512,2782,2782.0,2782,0.0008150965166494,19,0.000492949519879,0.005726400627543952,263.34002972323714,0.007819525581882623,157.158476622251,0.010344351982303273
twin_fine,1.0,3,44512,2782,2782.0,2782,0.0009351309511331,18,0.0005808066986448,0.007778735659470326,283.8069202511383,0.01024478258023831,164.52287521718011,0.013246009777977973
twin_fine,1.0,4,44512,2782,2782.0,2782,0.0009044945175123,23,0.0004155611912402,0.006980736341392334,331.0316602807809,0.009886353561670828,150.3443760258187,0.013994441664609092
twin_fine,5.0,0,12304,769,769.0,769,0.061954831803429,8,0.0013808273019137,0.012854144627470133,4646.434663705162,0.010397439915259814,154.59904783551693,0.02283559141858539
twin_fine,5.0,1,12304,769,769.0,769,0.0557926925515244,8,0.0022260317131878,0.010964041219416305,4463.935627154111,0.010150183457621566,181.26871874005448,0.01969309156838314
twin_fine,5.0,2,12304,769,769.0,769,0.07727092806742,8,0.0016866950782214,0.029036918463506683,1673.6005820297098,0.010163406525554058,159.9322726062499,0.021237148969018224
twin_fine,5.0,3,12304,769,769.0,769,0.0588383498729885,8,0.0015918782778653,0.018665137982420997,4325.567503388525,0.014656846914158509,146.44695629490653,0.019134587429060785
twin_fine,5.0,4,12304,769,769.0,769,0.0668122697864321,8,0.0015028184949566,0.016317812081548363,5099.917753038872,0.01349376669320651,145.61853056282854,0.015511647794812936
twin_fine,10.0,0,6304,394,394.0,394,1.307331072067909,4,0.0032608070669945,0.8641999915041956,491.4506861638381,0.010338379205995703,143.93233328308276,0.017396398621016485
twin_fine,10.0,1,6304,394,394.0,394,1.9772412235701955,4,0.0030137890320094,1.1948515626229004,418.2609083902501,0.013950216372149032,157.96446183491184,0.024269826026980832
twin_fine,10.0,2,6304,394,394.0,394,0.625,4,0.0031509484459084,0.44656475305787235,444.90329882703463,0.009979737854060273,158.1531025834101,0.02016990723435351
twin_fine,10.0,3,6304,394,394.0,394,0.9559530278856327,4,0.0032581630645911,0.5976420057545677,416.200071604803,0.011556769025701324,136.79942212901315,0.017141449083994495
twin_fine,10.0,4,6304,394,394.0,394,1.271278107910556,4,0.0033241598899572,0.7893629668956266,454.05792301067913,0.00835503799209152,154.09655978523247,0.012645044822982475
twin_fine,20.0,0,3200,200,200.0,200,3.3063605585742355,2,0.0090322541228551,1.7450401215631461,402.2625450784546,0.006029095045205461,172.90909542365918,0.01703199471714522
twin_fine,20.0,1,3200,200,200.0,200,2.9074157728181294,2,0.0078459771834233,1.7132868568997868,372.09752576950206,0.016605011476260187,176.54134762385962,0.02419358081067608
twin_fine,20.0,2,3200,200,200.0,200,2.5,2,0.0084232355181162,1.631284579055934,399.4898981961519,0.012581772898335434,183.97785760551372,0.025160893622016116
twin_fine,20.0,3,3200,200,200.0,200,3.697459594226455,2,0.0053976001311574,1.8804378833194282,343.273599209657,0.007894423422302763,148.50306930509655,0.017864267742540428
twin_fine,20.0,4,3200,200,200.0,200,2.5,2,0.0078763216501369,1.5182644196256936,392.175542850265,0.010346974550542688,150.45370151031292,0.01809995537771761
twin_coarse,0.0,0,75104,4694,4694.0,4694,0.0005457949772305,21,0.0002490711264691,0.009086397312331022,287.31619361549537,0.010827132270982974,150.68206072406602,0.024767162994906874
twin_coarse,0.0,1,75104,4694,4694.0,4694,0.0003687765694491,29,0.0002938496048808,0.010078310884307313,204.2326687303603,0.009904874269079076,166.98288835485874,0.014553632807541158
