slowdown_factor,base_method,method,replicate,seed,n_simulations,effective_straggler_worker_id,active_wall_time_s,elapsed_wall_time_s,throughput_sims_per_s,total_attempts,final_posterior_size,final_quality_wasserstein,final_quality_wasserstein_weighted,final_quality_wasserstein_analytic,utilization_loss_fraction,test_mode,arm,barrier_every
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,0,1654615998,1162571,0,299.9960563182831,447.7568643093109,3875.287609669647,1162571,100,0.0744000965101892,0.0836031778776401,0.0096917882220438,0.9602574206336296,False,async,
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,1,1806341205,1160215,0,299.92878222465515,437.3255624771118,3868.301639457083,1160215,100,0.0834993458584157,0.089613954502909,0.0176440709677964,0.9605553064366424,False,async,
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,2,173879092,1170955,0,299.9857385158539,459.3842437267304,3903.368892778603,1170955,100,0.0885266089494039,0.0961705969645474,0.0097368309049377,0.9601528020383197,False,async,
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,3,1112038970,1171153,0,299.8950717449188,443.8511173725128,3905.209222631525,1171153,100,0.0716528259499753,0.0854791279139537,0.006736183758927,0.9596723675379164,False,async,
0.0,async_propulate_abc,async_propulate_abc__straggler_slowdown0x,4,2087043557,1166281,0,299.9917325973511,447.5697033405304,3887.7104708928177,1166281,100,0.0746281368403671,0.0904483577078413,0.0049115558939871,0.959824571362604,False,async,
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,0,1654615998,935632,0,299.9329173564911,412.40724658966064,3119.470874508704,935632,100,0.0685616268062177,0.0873657275641733,0.0071768634553885,0.9223468511774392,False,async,
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,1,1806341205,933635,0,299.97398495674133,412.8649353981018,3112.386562903572,933635,100,0.0689106577487981,0.0845956362697148,0.0078887996696175,0.9230005432301956,False,async,
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,2,173879092,936503,0,299.9888665676117,414.9652409553528,3121.7925208865386,936503,100,0.0698033596833156,0.0848372886833746,0.0137512942461708,0.9235259752611056,False,async,
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,3,1112038970,933107,0,299.96732211112976,411.2484517097473,3110.695503206543,933107,100,0.0769853450906929,0.0865529126936138,0.0243839655766261,0.9253316787959952,False,async,
1.0,async_propulate_abc,async_propulate_abc__straggler_slowdown1x,4,2087043557,932729,0,299.87150406837463,411.626314163208,3110.428924874854,932729,100,0.064783637571206,0.0864298428601589,0.0128152645061308,0.9223695667587712,False,async,
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,0,1654615998,971683,0,299.841349363327,414.9788963794708,3240.657107711257,971683,100,0.083880143693764,0.0935290451707237,0.0095207030629981,0.9198380657925465,False,async,
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,1,1806341205,982127,0,299.6214191913605,418.99606490135193,3277.893158141477,982127,100,0.0789596074628149,0.0889315735969105,0.0181012449279098,0.9188733431583678,False,async,
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,2,173879092,966737,0,299.5641100406647,418.1252150535584,3227.145601216278,966737,100,0.0702132148865163,0.0794578173899544,0.0109621225398727,0.9199177273588438,False,async,
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,3,1112038970,966133,0,299.93289589881897,417.3977088928223,3221.1638443484394,966133,100,0.0802041333385672,0.0867652600033968,0.0089860357392909,0.9192931045220164,False,async,
5.0,async_propulate_abc,async_propulate_abc__straggler_slowdown5x,4,2087043557,973860,0,299.8905053138733,414.84361743927,3247.3852380912576,973860,100,0.0777108467568333,0.0803988569231925,0.0133739451317763,0.91912260098735,False,async,
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,0,1654615998,967294,0,299.4631609916687,415.4412806034088,3230.0934672459125,967294,100,0.0757955368255461,0.0789208449429743,0.016270994074203,0.923070200063862,False,async,
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,1,1806341205,963029,0,299.9361882209778,414.4028618335724,3210.7796185316893,963029,100,0.0919430467505719,0.0962809230974841,0.0113330810282645,0.9225522029156698,False,async,
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,2,173879092,965248,0,299.9114935398102,415.4450311660767,3218.442843277939,965248,100,0.057186468773777,0.0816438638019377,0.0101896770660635,0.9206010585321994,False,async,
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,3,1112038970,962162,0,299.71390748023987,413.885427236557,3210.268112311189,962162,100,0.0907588987474105,0.0950653780604224,0.0101183358085148,0.9220228141638128,False,async,
10.0,async_propulate_abc,async_propulate_abc__straggler_slowdown10x,4,2087043557,969241,0,299.5826485157013,414.7069625854492,3235.304196695496,969241,100,0.0704744145576786,0.0823359497089632,0.0135873681870976,0.9211721528031904,False,async,
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,0,1654615998,957650,0,299.4924385547638,420.5364828109741,3197.576555258802,957650,100,0.0718604435845988,0.0897273994600943,0.0071177557563568,0.919595718416196,False,async,
20.0,async_propulate_abc,async_propulate_abc__straggler_slowdown20x,1,1806341205,951623,0,299.72989559173584,414.0463795661926,3174.9352133235725,951623,100,0.0817046905701559,0.0976279390496147,0.0171688554234945,0.9206740964920648,False,async,
