run,box,tol_init,method,replicate,n_sims,n_match,throughput,utilisation,runtime_cv,mean_runtime_s,eps_full,eps_matched,ess,contraction_division_rate,contraction_cell_volume,covered_division_rate,covered_cell_volume,bias_division_rate,bias_cell_volume,n_generations
50_control,50,10.0,async,0,13274,5636,3.687222222222222,0.9978016783136571,0.04489612671356131,12.98826421266294,7.782745407358678e-05,0.0002223993932224,1235.0222810780676,0.8862984756951491,0.34918986969069765,True,True,-0.02248477929795506,0.03862453698721002,
50_control,50,10.0,async,1,13233,5636,3.6758333333333333,0.9979476133864021,0.051228367100600226,13.029214116961816,6.310930206176217e-05,0.0001772882552148,613.6886053997508,0.8841620415637812,0.12975625267730584,True,True,-0.020207453036550804,0.10082508433692461,
50_control,50,10.0,async,2,13249,5636,3.680277777777778,0.9977962322604383,0.05205289482303661,13.012561686471395,5.5073070259715546e-05,0.0001747414093667,671.3580356383918,0.7788749908698924,0.03755030288325223,True,True,-0.011224661444281803,0.01672513746117199,
50_control,50,10.0,async,3,13285,5636,3.6902777777777778,0.9977740013473808,0.050310636522048945,12.976762408424152,6.158370493511577e-05,0.0001704069081317,645.199647480752,0.8753088416145881,0.15400747988457586,True,True,-0.015332042065832219,0.0552953975022521,
50_control,50,10.0,async,4,13291,5636,3.6919444444444443,0.9979630352192173,0.05358384046522358,12.972158208100378,6.80965305660488e-05,0.000221282974166,632.27776183724,0.7744337690673423,-0.020604847704015494,True,True,-0.01223789293737193,0.04087326610961994,
50_control,50,10.0,sync,0,5777,5636,1.6047222222222222,0.4514252476886264,0.11718135686895295,13.460937022791407,0.0004542379438468,0.0004714637973901,82.89936711697473,0.9102857866734757,0.7010102729141358,True,True,-0.02423471534496574,0.03210007219796085,23.0
50_control,50,10.0,sync,1,5566,5636,1.5461111111111112,0.43033714551635405,0.10976530366646672,13.35403410333804,0.0003617849197171,0.0003617849197171,69.52971986372626,0.9054884012002198,0.6665041606638678,True,True,-0.023129144344521124,0.045988171546077594,23.0
50_control,50,10.0,sync,2,5765,5636,1.601388888888889,0.4497724176699946,0.11548969588630482,13.480870288532916,0.0004339925051443,0.0004630663820608,41.87135776336267,0.9233473715538352,0.6266413695002472,True,True,-0.01513607162125491,0.040212628819930374,24.0
50_control,50,10.0,sync,3,5796,5636,1.61,0.45196358738207765,0.11587485328506712,13.435692202724033,0.0004457628419864,0.0005038073635819,80.13659429307523,0.9042781236172118,0.6698811869708328,True,True,-0.025454333218668246,0.06536164605511863,24.0
50_control,50,10.0,sync,4,5280,5636,1.4666666666666666,0.41283002198763075,0.12582374285902925,13.483991437924626,0.0005929985741278,0.0005929985741278,53.6838864019403,0.9100468587658943,0.6253103925771357,True,True,-0.021266172118477256,0.04646967958852366,22.0
50_fixed,50,0.1,async,0,12835,5427,3.5652777777777778,0.9980332357939193,0.04849055664653828,13.434440838041404,6.147726466202043e-05,0.0002171093168714,572.9548005922302,0.9118448082973555,0.8143598844087633,True,True,-0.023179762807179094,0.05233160158715633,
50_fixed,50,0.1,async,1,12860,5427,3.5722222222222224,0.9976004841927876,0.05274123836577147,13.403437161056287,7.629015888252514e-05,0.0001707499669106,293.90300125883493,0.9183147123756927,0.8005411904273172,True,True,-0.02567949758830279,0.05419566992338831,
