arm,n_workers,replicate,seed,n_sims,elapsed_s,throughput,utilisation,mean_duration_s,duration_cv,generation_straggler_factor
twin,48,0,1654615998,2016,1186.7017102241514,1.698826236307695,0.8473900203872606,23.942837771915254,1.0238431618430344,1.2436752892266991
twin,48,1,1806341205,2016,975.9053311347961,2.065774143948745,0.8410860489219131,19.54334188299993,0.6041088241914669,1.2013433480712716
twin,48,2,173879092,2016,413.5276343822479,4.875127639321179,0.8476004899288159,8.345386321464229,0.7269543630255667,1.1996134900392468
twin,48,3,1112038970,2016,336.8235459327697,5.9853297797725675,0.8476234551543701,6.797608042401927,0.2824400519043055,1.1916108671433336
twin,48,4,2087043557,2016,340.7125549316406,5.917011189694736,0.8256914393355693,6.698177140028704,0.2604048260177184,1.2207147752906087
async,48,0,1654615998,16643,1799.8629918098452,9.246814938544127,0.9977139105865787,5.1791095665310145,0.10595098255059153,
async,48,1,1806341205,16656,1799.804107427597,9.254340475867616,0.9973149433447934,5.172828620838272,0.11232335228816086,
async,48,2,173879092,16797,1799.9802794456482,9.331768904253265,0.9976453268205321,5.131607541798368,0.10228682028311482,
async,48,3,1112038970,16912,1799.8740129470825,9.396213222895854,0.9975598161635845,5.095975372203704,0.10526942350850158,
async,48,4,2087043557,16971,1799.7243106365204,9.429777605214298,0.9977957470274212,5.079037689163804,0.09412798255679926,
twin,96,0,1654615998,3840,1473.2550003528595,2.606473420473904,0.7515844586553085,27.68188904753576,0.6545205767188987,1.3545150100582017
twin,96,1,1806341205,3840,949.417448759079,4.044585450814087,0.6845530163810712,16.24816445882122,0.5910666491465453,1.4600467115795823
twin,96,2,173879092,3840,332.60281443595886,11.545302184264512,0.8350174820936003,6.943229116188983,0.1911203796048133,1.1959113782009063
twin,96,3,1112038970,3840,383.5961408615113,10.010528237786275,0.8493528472217098,8.145211860599618,0.2099954475776273,1.1865656183701443
twin,96,4,2087043557,3840,342.27846240997314,11.21893552098682,0.8388357352800643,7.177885142154992,0.22876194481889583,1.2027797036207812
async,96,0,1654615998,33259,1797.4830350875854,18.503095356546382,0.996589926067395,5.170628538571576,0.09989350880129189,
async,96,1,1806341205,32752,1799.7249953746796,18.19833590363702,0.9965971403048579,5.257256816000721,0.10587248178673485,
async,96,2,173879092,33886,1799.531593799591,18.830455723454108,0.9965887439101924,5.080733085828316,0.11177498585867941,
async,96,3,1112038970,33604,1799.5106570720673,18.67396554054096,0.9965129235058212,5.122920487824118,0.15959465460567657,
async,96,4,2087043557,33668,1799.7583873271944,18.706955465283347,0.9964657873221424,5.1136442677941,0.10294175307785029,
twin,192,0,1654615998,7680,318.5114712715149,24.112161390423484,0.85315588456032,6.793498400381456,0.17847060149649785,1.176692980394152
twin,192,1,1806341205,7680,516.0843908786774,14.88128712229438,0.8082784945450207,10.428497862940032,0.25488728607531214,1.236874114852072
twin,192,2,173879092,7680,499.7779939174652,15.366823056375502,0.8204106783348039,10.250580075165878,0.26293134287515224,1.221553648594605
twin,192,3,1112038970,7680,296.4560799598694,25.90602965889458,0.8354844936916942,6.192111446677397,0.10140167832174576,1.1944849776592599
twin,192,4,2087043557,7680,379.09996724128723,20.258508740814214,0.8117559120663366,7.693415991806735,0.4288953770094221,1.2212844636107782
async,192,0,1654615998,67571,1797.091670036316,37.60019654347099,0.994919613594997,5.080414023617903,0.10867996295836124,
async,192,1,1806341205,67779,1799.5768053531647,37.66385507880474,0.9948161279357924,5.0712996894245075,0.10613554410869964,
async,192,2,173879092,67953,1799.566559314728,37.76075947192328,0.994771639057823,5.058059143146094,0.09104672962867144,
async,192,3,1112038970,68602,1799.4087986946106,38.124744110269795,0.9948576973358522,5.0102022281384935,0.0939286210805704,
async,192,4,2087043557,68228,1799.314726114273,37.91888045475091,0.9948272209592641,5.037248572043407,0.0890340470885508,
twin,384,0,1654615998,15360,2236.578882455826,6.867631685377576,0.6469373591748154,36.1731608950533,0.5711528390863831,1.5159798099290664
twin,384,1,1806341205,15360,425.5009677410126,36.09862530171515,0.8485835543232149,9.026828089340901,0.13433757053998627,1.174718869084164
twin,384,2,173879092,15360,927.4752192497253,16.561089375978547,0.7629023396775103,17.689325368963182,0.2740149100417823,1.308696449153338
twin,384,3,1112038970,15360,530.8562676906586,28.93438569882461,0.8469904641301136,11.240754913942267,0.21482286120745864,1.175307003631723
twin,384,4,2087043557,15360,600.9778106212616,25.558347959838283,0.8193805387448245,12.31073805601336,0.908824907269185,1.2880879037779587
async,384,0,1654615998,128928,1794.6406936645508,71.84056421719525,0.9904051704759121,5.293883610281009,0.12943085562843393,
async,384,1,1806341205,131998,1799.33828163147,73.35919062440927,0.9905984235336746,5.185305227595594,0.08769301940679827,
async,384,2,173879092,129572,1799.061496257782,72.02199606268158,0.9901963515491885,5.279434336476389,0.16073216412424793,
async,384,3,1112038970,131612,1799.1894781589508,73.15071680758942,0.9905726564664619,5.199947679031585,0.09220939804048779,
async,384,4,2087043557,128333,1799.1694226264954,71.3290245966134,0.9900001103253782,5.329668315455904,0.2932613877750648,
