arm,base_method,method_variant,k,n_workers,replicate,seed,elapsed_wall_time_s,n_simulations,throughput_sims_per_s,worker_utilization,final_quality_wasserstein
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k192__w192,192,192,0,1654615998,1799.605076789856,14121,7.846721584709633,0.2388930067637716,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k192__w192,192,192,1,1806341205,1799.759842157364,15664,8.703383436549865,0.2946069622661026,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k192__w192,192,192,2,173879092,1798.7695643901825,13931,7.74473855672718,0.2379565250701653,
twin,async_propulate_abc,async_propulate_abc__k100__w384,100,384,0,1654615998,2241.2500715255737,15360,6.853318241968759,0.6455890193534889,
twin,async_propulate_abc,async_propulate_abc__k100__w384,100,384,1,1806341205,426.2472195625305,15360,36.03542567565461,0.8470978976571754,
twin,async_propulate_abc,async_propulate_abc__k100__w384,100,384,2,173879092,929.7034468650818,15360,16.521397281889435,0.7610738855969951,
async,async_propulate_abc,async_propulate_abc__k100__w384,100,384,0,1654615998,1799.9908804893494,128928,71.62702955747717,0.987461348508963,
async,async_propulate_abc,async_propulate_abc__k100__w384,100,384,1,1806341205,1799.995253324509,131998,73.3324156028777,0.9902368697338918,
async,async_propulate_abc,async_propulate_abc__k100__w384,100,384,2,173879092,1799.9899108409882,129572,71.98484792587621,0.9896856193903698,
async,async_propulate_abc,async_propulate_abc__k100__w384,100,384,3,1112038970,1799.9960644245148,131612,73.11793764509052,0.9901287764405328,
async,async_propulate_abc,async_propulate_abc__k100__w384,100,384,4,2087043557,1799.9906706809998,128333,71.29648063756193,0.989548421503982,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k384__w384,384,384,0,1654615998,1799.998117685318,31244,17.357795929352292,0.3572489747710566,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k384__w384,384,384,1,1806341205,1797.0496089458466,25470,14.173231430678625,0.2669500043960479,
pyabc_fair_baseline,abc_smc_baseline,abc_smc_baseline__k384__w384,384,384,2,173879092,1799.9757978916168,23964,13.313512341704808,0.2350218918095127,
