#Name                     Rank      Calls  TotalTime   AverageTime  MinTime  MaxTime      Variance
ActiveCellsDetection         0        502      28284      56.34263       55       75       3.30093
BC:cells                     0        502      22501      44.82271       41      441     333.64785
CellInfo                     0          2       2371    1185.50000      950     1421   55460.25000
CellOrientation              0         33        207       6.27273        2       16      16.19835
CenterOfMass                 0        502    2183362    4349.32669     3989     7216  101626.07654
Clean:Cells                  0          5      19473    3894.60000     3495     4516  137173.84000
Divide:Cells                 0        501     350884     700.36727        1    15700 5628996.20843
ExchangeContainer            0        503      36477      72.51889       17      145     883.50610
Filling                      0          1        479     479.00000      479      479       0.00000
KDtree-rebuildIndex          0        504       2711       5.37897        0       17      19.59249
LoggerSync                   0          5          2       0.40000        0        1       0.24000
Sweep:Cells                  0        501     463614     925.37725      711     2327   35753.52435
TimeStep                     0        501    3103259    6194.12974     4857    21911 6641271.13886

