method,axis_value,wasserstein,wasserstein_ci_low,wasserstein_ci_high,n_replicates
abc_smc_baseline,42.8576717376709,0.072522149744637,0.0666156952386477,0.0784286042506264,5
abc_smc_baseline,85.71469640731812,0.0751551084431474,0.0653653914185472,0.0849448254677477,5
abc_smc_baseline,128.57172107696533,0.0723037543958135,0.0596770339333334,0.0849304748582936,5
abc_smc_baseline,171.42874574661255,0.0767581627318902,0.0676534938104814,0.085862831653299,5
abc_smc_baseline,214.28577041625977,0.074994753724663,0.0646607936692286,0.0853287137800974,5
abc_smc_baseline,257.142795085907,0.0765001559918554,0.0623718766441693,0.0906284353395416,5
abc_smc_baseline,299.9998197555542,0.0688485917666539,0.0565053993926434,0.0811917841406644,5
async_propulate_abc,42.8576717376709,0.0805456472309572,0.0679480167681778,0.0931432776937366,5
async_propulate_abc,85.71469640731812,0.0801685480984347,0.0724925086064875,0.0878445875903818,5
async_propulate_abc,128.57172107696533,0.0803839928466813,0.0733200909205525,0.0874478947728101,5
async_propulate_abc,171.42874574661255,0.0821779915653448,0.0724164648911658,0.0919395182395238,5
async_propulate_abc,214.28577041625977,0.080129789628472,0.0701106871554293,0.0901488921015146,5
async_propulate_abc,257.142795085907,0.076485239355166,0.064432937852706,0.088537540857626,5
async_propulate_abc,299.9998197555542,0.0780016141609745,0.0665406551339369,0.0894625731880121,5
rejection_abc,0.0006470680236816,0.6944401902336219,,,1
rejection_abc,42.8576717376709,2.416247257670726,2.338469450336813,2.4940250650046383,5
rejection_abc,85.71469640731812,2.416247257670726,2.338469450336813,2.4940250650046383,5
rejection_abc,128.57172107696533,2.416247257670726,2.338469450336813,2.4940250650046383,5
rejection_abc,171.42874574661255,2.416247257670726,2.338469450336813,2.4940250650046383,5
rejection_abc,214.28577041625977,2.416247257670726,2.338469450336813,2.4940250650046383,5
rejection_abc,257.142795085907,2.416247257670726,2.338469450336813,2.4940250650046383,5
rejection_abc,299.9998197555542,2.416247257670726,2.338469450336813,2.4940250650046383,5
