n_workers,nodes,productive_fraction,coordination_fraction
16,1,0.5532179233593921,0.4467820766406079
48,1,0.2531111230284862,0.7468888769715138
128,3,0.0778965694909421,0.9221034305090579
256,6,0.020145716912340836,0.9798542830876592
