base_method,sigma,median,q1,q3,n
abc_smc_baseline,0.0,1375.0,1364.0,1385.0,5
abc_smc_baseline,0.5,1132.0,1112.0,1177.0,5
abc_smc_baseline,1.0,593.0,490.0,628.0,5
abc_smc_baseline,1.5,238.0,234.0,246.0,5
abc_smc_baseline,2.0,118.0,116.0,124.0,5
async_propulate_abc,0.0,2832.0,2832.0,2832.0,5
async_propulate_abc,0.5,2527.0,2509.0,2547.0,5
async_propulate_abc,1.0,1731.0,1707.0,1752.0,5
async_propulate_abc,1.5,1055.0,1001.0,1095.0,5
async_propulate_abc,2.0,684.0,674.0,696.0,5
