base_method,sigma,median,q1,q3,n
abc_smc_baseline,0.0,0.0532858750792264,0.0436844465269872,0.0932593250531773,5
abc_smc_baseline,0.5,0.1014933804052596,0.0233905604656362,0.1846362813228438,5
abc_smc_baseline,1.0,0.1059741519751709,0.0768268432173165,0.1104608675241167,5
abc_smc_baseline,1.5,0.1033009823906554,0.0644403552449987,0.1742836349375581,5
abc_smc_baseline,2.0,0.2841765434181098,0.0715138753794532,0.4133930839702112,5
async_propulate_abc,0.0,0.0069708041466366,0.0052377128634452,0.0089915195430766,5
async_propulate_abc,0.5,0.007783839223122,0.0061213463773694,0.0086996558891929,5
async_propulate_abc,1.0,0.00927361607179,0.0038998309534828,0.0125316425093851,5
async_propulate_abc,1.5,0.0076578633979274,0.0058321283265649,0.0094566759905671,5
async_propulate_abc,2.0,0.010811759331644,0.010475071245141,0.0111670715054921,5
